timestamp,count,inference_time_sec
2025-07-08 16:28:09,1,3.233
2025-07-08 16:28:37,1,0.122
2025-07-08 16:28:43,2,0.216
2025-07-08 17:34:23,1,3.602
2025-07-08 17:34:34,2,0.085
2025-07-08 17:44:17,1,2.198
2025-07-08 17:44:22,2,0.068
2025-07-08 17:44:23,2,0.09
2025-07-08 17:48:03,2,0.583
2025-07-08 17:48:09,1,1.948
2025-07-08 17:48:13,1,0.158
2025-07-08 17:48:16,2,0.257
2025-07-08 17:48:20,2,0.37
2025-07-08 17:48:24,2,1.014
2025-07-08 17:48:30,1,0.519
2025-07-08 17:48:38,2,0.434
2025-07-08 17:48:43,2,0.604
2025-07-09 22:08:00,1,6.81
2025-07-14 15:24:34,2,7.175
2025-07-14 15:26:32,2,0.176
2025-07-14 15:26:40,1,0.089
2025-07-14 17:36:44,1,3.841
2025-07-14 17:36:50,1,0.142
2025-07-14 17:37:48,2,3.644
